s_tabl_figu_id;s_sam_row;s_sam_col;valu
tabl_01_01  ;REU         ;GDPRvalu    ; -0.11396962
tabl_01_01  ;REU         ;PRODvalu    ; -0.24453248
tabl_01_01  ;REU         ;VAADvalu    ; -0.11691298
tabl_01_01  ;REU         ;CONFvalu    ; -0.30119770
tabl_01_01  ;REU         ;INCGvalu    ;  0.00253779
tabl_01_01  ;REU         ;IMPOvalu    ;  0.02562359
tabl_01_01  ;REU         ;EXPOvalu    ; -0.10064032
tabl_01_01  ;REU         ;INVTvalu    ; -0.30083894
tabl_01_01  ;REU         ;UNEMppts    ;  0.17899955
tabl_01_01  ;REU         ;CPINinde    ;  0.01806177
tabl_02_01  ;aagri       ;PRODquan    ; -0.09995664
tabl_02_01  ;afood       ;PRODquan    ; -0.13686359
tabl_02_01  ;aoind       ;PRODquan    ; -0.17976817
tabl_02_01  ;aelhy       ;PRODquan    ; -0.26057175
tabl_02_01  ;aelbi       ;PRODquan    ; -0.38614390
tabl_02_01  ;aelpe       ;PRODquan    ; -0.28369359
tabl_02_01  ;awasa       ;PRODquan    ; -0.28564243
tabl_02_01  ;acons       ;PRODquan    ; -0.22826515
tabl_02_01  ;atran       ;PRODquan    ; -0.69805668
tabl_02_01  ;aadmi       ;PRODquan    ; -0.01225920
tabl_02_01  ;asefi       ;PRODquan    ; -0.06099486
tabl_02_01  ;asenf       ;PRODquan    ; -0.17802705
tabl_02_02  ;cagri       ;CONFquan    ; -0.14872267
tabl_02_02  ;cagri       ;IMPOquan    ; -0.32908740
tabl_02_02  ;cagri       ;EXPOquan    ;  0.05891719
tabl_02_02  ;cfood       ;CONFquan    ; -0.27358132
tabl_02_02  ;cfood       ;IMPOquan    ; -0.28143347
tabl_02_02  ;cfood       ;EXPOquan    ; -0.01656615
tabl_02_02  ;cpetr       ;CONFquan    ; -3.59180756
tabl_02_02  ;cpetr       ;IMPOquan    ; -1.60555991
tabl_02_02  ;coind       ;CONFquan    ; -0.29216246
tabl_02_02  ;coind       ;IMPOquan    ; -0.26741058
tabl_02_02  ;coind       ;EXPOquan    ; -0.06726688
tabl_02_02  ;celec       ;CONFquan    ; -0.27594818
tabl_02_02  ;celec       ;IMPOquan    ; -0.30379323
tabl_02_02  ;cwadi       ;CONFquan    ; -0.25454340
tabl_02_02  ;cwadi       ;IMPOquan    ; -0.38522980
tabl_02_02  ;csaco       ;CONFquan    ; -0.25328468
tabl_02_02  ;csaco       ;IMPOquan    ; -0.39252047
tabl_02_02  ;csanc       ;CONFquan    ; -0.25631621
tabl_02_02  ;csanc       ;IMPOquan    ; -0.37499492
tabl_02_02  ;ccons       ;CONFquan    ; -0.24335572
tabl_02_02  ;ccons       ;EXPOquan    ; -0.03649973
tabl_02_02  ;ctran       ;CONFquan    ; -0.58387517
tabl_02_02  ;ctran       ;IMPOquan    ;  0.47116095
tabl_02_02  ;ctran       ;EXPOquan    ; -0.83121123
tabl_02_02  ;cadmi       ;CONFquan    ; -0.25470430
tabl_02_02  ;cadmi       ;EXPOquan    ;  0.03977421
tabl_02_02  ;csefi       ;CONFquan    ; -0.04757387
tabl_02_02  ;csefi       ;IMPOquan    ; -0.80853179
tabl_02_02  ;csefi       ;EXPOquan    ;  0.32272447
tabl_02_02  ;csenf       ;CONFquan    ; -0.21597415
